algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0112
Legacy,0.2777777777777778,0.0115
Legacy,0.5555555555555556,0.0156
Legacy,0.8333333333333334,0.0183
Legacy,1.1111111111111112,0.0187
Legacy,1.3888888888888888,0.0192
Legacy,1.6666666666666667,0.0198
Legacy,1.9444444444444444,0.021
Legacy,2.2222222222222223,0.0226
Legacy,2.5,0.0235
Legacy,2.7777777777777777,0.0242
Legacy,3.0555555555555554,0.0285
Legacy,3.3333333333333335,0.0325
Legacy,3.6111111111111107,0.0337
Legacy,3.888888888888889,0.0347
Legacy,4.166666666666666,0.0351
Legacy,4.444444444444445,0.0352
Legacy,4.722222222222222,0.0357
Legacy,5.0,0.0363
Legacy,5.277777777777778,0.0364
Legacy,5.555555555555555,0.0364
Legacy,5.833333333333333,0.0365
Legacy,6.111111111111111,0.0368
Legacy,6.388888888888888,0.0369
Legacy,6.666666666666667,0.0376
Legacy,6.944444444444445,0.0377
Legacy,7.222222222222221,0.0384
Legacy,7.5,0.0384
Legacy,7.777777777777778,0.0384
Legacy,8.055555555555555,0.0386
Legacy,8.333333333333332,0.0396
Legacy,8.61111111111111,0.0397
Legacy,8.88888888888889,0.0398
Legacy,9.166666666666666,0.04
Legacy,9.444444444444445,0.04
Legacy,9.722222222222223,0.04
Legacy,10.0,0.0403
Legacy,10.277777777777777,0.0407
Legacy,10.555555555555555,0.0411
Legacy,10.833333333333334,0.0418
Legacy,11.11111111111111,0.042
Legacy,11.38888888888889,0.0423
Legacy,11.666666666666666,0.0428
Legacy,11.944444444444445,0.0428
Legacy,12.222222222222221,0.0428
Legacy,12.5,0.043
Legacy,12.777777777777777,0.0431
Legacy,13.055555555555557,0.0435
Legacy,13.333333333333334,0.0438
Legacy,13.61111111111111,0.044
Legacy,13.88888888888889,0.0443
Legacy,14.166666666666666,0.0445
Legacy,14.444444444444443,0.0447
Legacy,14.722222222222223,0.0447
Legacy,15.0,0.0448
Legacy,15.277777777777779,0.0449
Legacy,15.555555555555555,0.045
Legacy,15.833333333333332,0.0453
Legacy,16.11111111111111,0.0459
Legacy,16.38888888888889,0.0462
Legacy,16.666666666666664,0.0467
Legacy,16.944444444444446,0.0468
Legacy,17.22222222222222,0.047
Legacy,17.5,0.0473
Legacy,17.77777777777778,0.0474
Legacy,18.055555555555554,0.0478
Legacy,18.333333333333332,0.048
Legacy,18.61111111111111,0.0482
Legacy,18.88888888888889,0.0486
Legacy,19.166666666666668,0.0487
Legacy,19.444444444444446,0.0489
Legacy,19.72222222222222,0.0495
Legacy,20.0,0.0496
Legacy,20.27777777777778,0.0496
Legacy,20.555555555555554,0.0496
Legacy,20.833333333333336,0.0501
Legacy,21.11111111111111,0.0502
Legacy,21.38888888888889,0.0503
Legacy,21.666666666666668,0.0503
Legacy,21.944444444444443,0.0507
Legacy,22.22222222222222,0.0509
Legacy,22.5,0.0513
Legacy,22.77777777777778,0.0514
Legacy,23.055555555555557,0.0517
Legacy,23.333333333333332,0.0519
Legacy,23.61111111111111,0.0521
Legacy,23.88888888888889,0.0523
Legacy,24.166666666666668,0.0523
Legacy,24.444444444444443,0.0531
Legacy,24.72222222222222,0.0535
Legacy,25.0,0.0536
Legacy,25.27777777777778,0.0537
Legacy,25.555555555555554,0.0541
Legacy,25.833333333333336,0.0542
Legacy,26.111111111111114,0.0542
Legacy,26.38888888888889,0.0542
Legacy,26.666666666666668,0.0547
Legacy,26.944444444444443,0.0548
Legacy,27.22222222222222,0.0554
Legacy,27.500000000000004,0.0558
Legacy,27.77777777777778,0.0562
Legacy,28.055555555555557,0.0563
Legacy,28.333333333333332,0.0568
Legacy,28.61111111111111,0.0574
Legacy,28.888888888888886,0.0574
Legacy,29.166666666666668,0.0577
Legacy,29.444444444444446,0.0581
Legacy,29.72222222222222,0.0582
Legacy,30.0,0.0583
Legacy,30.277777777777775,0.0583
Legacy,30.555555555555557,0.0584
Legacy,30.833333333333336,0.0588
Legacy,31.11111111111111,0.0591
Legacy,31.38888888888889,0.0596
Legacy,31.666666666666664,0.0598
Legacy,31.944444444444443,0.0598
Legacy,32.22222222222222,0.0598
Legacy,32.5,0.0601
Legacy,32.77777777777778,0.0605
Legacy,33.05555555555556,0.0609
Legacy,33.33333333333333,0.0611
Legacy,33.611111111111114,0.0611
Legacy,33.88888888888889,0.0619
Legacy,34.166666666666664,0.0622
Legacy,34.44444444444444,0.0623
Legacy,34.72222222222222,0.0625
Legacy,35.0,0.0626
Legacy,35.27777777777778,0.0626
Legacy,35.55555555555556,0.0632
Legacy,35.833333333333336,0.0636
Legacy,36.11111111111111,0.0643
Legacy,36.388888888888886,0.0645
Legacy,36.666666666666664,0.0646
Legacy,36.94444444444444,0.0648
Legacy,37.22222222222222,0.065
Legacy,37.5,0.0652
Legacy,37.77777777777778,0.0659
Legacy,38.05555555555556,0.0662
Legacy,38.333333333333336,0.0663
Legacy,38.611111111111114,0.0664
Legacy,38.88888888888889,0.0667
Legacy,39.166666666666664,0.0674
Legacy,39.44444444444444,0.0675
Legacy,39.72222222222222,0.0678
Legacy,40.0,0.068
Legacy,40.27777777777778,0.0682
Legacy,40.55555555555556,0.0682
Legacy,40.833333333333336,0.0684
Legacy,41.11111111111111,0.0688
Legacy,41.388888888888886,0.0688
Legacy,41.66666666666667,0.0698
Legacy,41.94444444444444,0.0702
Legacy,42.22222222222222,0.0708
Legacy,42.5,0.0711
Legacy,42.77777777777778,0.0721
Legacy,43.05555555555556,0.0722
Legacy,43.333333333333336,0.0728
Legacy,43.611111111111114,0.0733
Legacy,43.888888888888886,0.0733
Legacy,44.166666666666664,0.0733
Legacy,44.44444444444444,0.0734
Legacy,44.72222222222222,0.0736
Legacy,45.0,0.0739
Legacy,45.27777777777778,0.0744
Legacy,45.55555555555556,0.0749
Legacy,45.83333333333333,0.0758
Legacy,46.111111111111114,0.0759
Legacy,46.38888888888889,0.0761
Legacy,46.666666666666664,0.0772
Legacy,46.94444444444444,0.0774
Legacy,47.22222222222222,0.0774
Legacy,47.5,0.0775
Legacy,47.77777777777778,0.0775
Legacy,48.05555555555556,0.0776
Legacy,48.333333333333336,0.078
Legacy,48.61111111111111,0.0782
Legacy,48.888888888888886,0.0782
Legacy,49.166666666666664,0.0793
Legacy,49.44444444444444,0.0794
Legacy,49.72222222222222,0.0795
Legacy,50.0,0.0797
Legacy,50.27777777777778,0.0797
Legacy,50.55555555555556,0.0798
Legacy,50.83333333333333,0.0798
Legacy,51.11111111111111,0.08
Legacy,51.388888888888886,0.0803
Legacy,51.66666666666667,0.0809
Legacy,51.94444444444445,0.0813
Legacy,52.22222222222223,0.0813
Legacy,52.5,0.0814
Legacy,52.77777777777778,0.0815
Legacy,53.05555555555556,0.0819
Legacy,53.333333333333336,0.0821
Legacy,53.61111111111111,0.0825
Legacy,53.888888888888886,0.0826
Legacy,54.166666666666664,0.0827
Legacy,54.44444444444444,0.0829
Legacy,54.72222222222223,0.0834
Legacy,55.00000000000001,0.0842
Legacy,55.27777777777778,0.0846
Legacy,55.55555555555556,0.0848
Legacy,55.833333333333336,0.0848
Legacy,56.111111111111114,0.0852
Legacy,56.388888888888886,0.0854
Legacy,56.666666666666664,0.0855
Legacy,56.94444444444444,0.0855
Legacy,57.22222222222222,0.0855
Legacy,57.49999999999999,0.0857
Legacy,57.77777777777777,0.0859
Legacy,58.05555555555556,0.086
Legacy,58.333333333333336,0.0861
Legacy,58.611111111111114,0.0863
Legacy,58.88888888888889,0.0865
Legacy,59.166666666666664,0.0865
Legacy,59.44444444444444,0.0867
Legacy,59.72222222222222,0.087
Legacy,60.0,0.0871
Legacy,60.27777777777777,0.0871
Legacy,60.55555555555555,0.0875
Legacy,60.83333333333333,0.0876
Legacy,61.111111111111114,0.0877
Legacy,61.38888888888889,0.0877
Legacy,61.66666666666667,0.0877
Legacy,61.94444444444444,0.0886
Legacy,62.22222222222222,0.0888
Legacy,62.5,0.0892
Legacy,62.77777777777778,0.0896
Legacy,63.05555555555556,0.0902
Legacy,63.33333333333333,0.0906
Legacy,63.61111111111111,0.0906
Legacy,63.888888888888886,0.0908
Legacy,64.16666666666667,0.0908
Legacy,64.44444444444444,0.091
Legacy,64.72222222222223,0.0911
Legacy,65.0,0.0914
Legacy,65.27777777777779,0.0916
Legacy,65.55555555555556,0.0918
Legacy,65.83333333333333,0.0918
Legacy,66.11111111111111,0.0925
Legacy,66.38888888888889,0.0931
Legacy,66.66666666666666,0.0934
Legacy,66.94444444444444,0.0941
Legacy,67.22222222222223,0.0955
Legacy,67.5,0.0962
Legacy,67.77777777777779,0.0962
Legacy,68.05555555555556,0.0962
Legacy,68.33333333333333,0.0967
Legacy,68.61111111111111,0.0972
Legacy,68.88888888888889,0.0975
Legacy,69.16666666666667,0.0977
Legacy,69.44444444444444,0.0983
Legacy,69.72222222222221,0.0986
Legacy,70.0,0.0989
Legacy,70.27777777777777,0.0991
Legacy,70.55555555555556,0.1001
Legacy,70.83333333333334,0.1016
Legacy,71.11111111111111,0.1018
Legacy,71.38888888888889,0.1023
Legacy,71.66666666666667,0.1024
Legacy,71.94444444444444,0.1026
Legacy,72.22222222222221,0.103
Legacy,72.5,0.1042
Legacy,72.77777777777777,0.1044
Legacy,73.05555555555556,0.1045
Legacy,73.33333333333333,0.1048
Legacy,73.61111111111111,0.1055
Legacy,73.88888888888889,0.1057
Legacy,74.16666666666667,0.106
Legacy,74.44444444444444,0.1068
Legacy,74.72222222222223,0.107
Legacy,75.0,0.1083
Legacy,75.27777777777777,0.1088
Legacy,75.55555555555556,0.1103
Legacy,75.83333333333333,0.1103
Legacy,76.11111111111111,0.1107
Legacy,76.38888888888889,0.1117
Legacy,76.66666666666667,0.1118
Legacy,76.94444444444444,0.1118
Legacy,77.22222222222223,0.1124
Legacy,77.5,0.1126
Legacy,77.77777777777779,0.1131
Legacy,78.05555555555556,0.1133
Legacy,78.33333333333333,0.1133
